timestamp,client_id,dataset,final_rule,tp,fn,tn,fp,accuracy,precision,recall,f1,num_rules,avg_rule_length
2025-12-02T14:21:01,2,trains_part2,"f(A) :- has_load(D,C), has_load(B,E), has_load(D,E), has_car(A,B), has_car(A,D), zero_load(C). | f(A) :- has_car(A,E), has_load(C,D), has_load(C,B), has_load(E,B), three_load(D), has_car(A,C). | f(A) :- has_load(D,B), long(D), has_car(A,D), circle(B), has_load(C,B), has_car(A,C).",2,0,2,0,1.0,1.0,1.0,1.0,3,7.0
2025-12-02T15:22:04,1,trains_part2,"f(A) :- has_load(C,B), has_load(D,E), circle(B), has_car(A,C), has_car(A,D), has_load(C,E). | f(A) :- has_load(C,B), one_load(D), one_load(B), has_car(A,C), has_load(C,D), zero_load(D). | f(A) :- has_car(A,E), two_load(D), has_car(A,B), has_load(E,C), two_load(C), has_load(B,D).",0,2,2,0,0.5,0,0.0,0,3,7.0
